SNo,Name,Ticker,Date,High,Low,Open,Close,Volume,Marketcap
2517,Amgen Inc.,AMGN,2015-01-02,162.5900,158.6000,160.1600,159.8900,2605400.0000,86078676027.8000
2518,Amgen Inc.,AMGN,2015-01-05,159.6000,154.2600,157.4300,157.9900,4080300.0000,85055791796.8000
2519,Amgen Inc.,AMGN,2015-01-06,158.8800,152.3300,158.7800,152.9000,5075800.0000,82315523732.0000
2520,Amgen Inc.,AMGN,2015-01-07,158.5800,153.0100,154.0900,158.2400,3502400.0000,85190382259.5500
2521,Amgen Inc.,AMGN,2015-01-08,162.7600,155.1500,159.6000,157.6700,4560200.0000,84883512061.4000
2522,Amgen Inc.,AMGN,2015-01-09,158.7600,154.6300,158.7600,155.7300,3949100.0000,83839088756.1000
2523,Amgen Inc.,AMGN,2015-01-12,157.9900,154.9900,156.2200,156.2200,2700700.0000,84102889020.4000
2524,Amgen Inc.,AMGN,2015-01-13,160.9600,153.4100,158.8900,155.1400,4570400.0000,83521457235.5500
2525,Amgen Inc.,AMGN,2015-01-14,155.5400,152.5700,152.8700,155.1600,3426400.0000,83532226772.7000
2526,Amgen Inc.,AMGN,2015-01-15,157.7400,151.5300,156.1500,151.9200,2894000.0000,81787931418.1500
2527,Amgen Inc.,AMGN,2015-01-16,158.4400,152.0300,152.4300,158.4300,3513200.0000,85292664110.8500
2528,Amgen Inc.,AMGN,2015-01-20,159.7300,154.6500,159.2100,157.6000,3664400.0000,84845831003.5000
2529,Amgen Inc.,AMGN,2015-01-21,158.2700,155.3800,155.3800,157.3800,2804900.0000,84727390739.1000
2530,Amgen Inc.,AMGN,2015-01-22,159.7800,154.1100,158.1700,159.5700,3783100.0000,85906404507.1500
2531,Amgen Inc.,AMGN,2015-01-23,160.0100,158.2500,159.8000,159.8100,2249400.0000,86035606093.9500
2532,Amgen Inc.,AMGN,2015-01-26,161.4800,157.6700,159.6200,159.7300,3149600.0000,85992536160.1000
2533,Amgen Inc.,AMGN,2015-01-27,160.7400,158.2800,158.5300,158.8900,2876300.0000,85540314176.8000
2534,Amgen Inc.,AMGN,2015-01-28,160.9100,154.5100,158.3200,154.6400,4927100.0000,83252276310.0500
