SNo,Name,Ticker,Date,High,Low,Open,Close,Volume,Marketcap
4,Biogen Inc.,BIIB,2015-01-02,346.9900,340.3300,342.8400,342.0100,976300.0000,50143660093.7632
4,Biogen Inc.,BIIB,2015-01-05,342.0000,335.1300,339.2700,336.7400,1250000.0000,49370998298.7368
4,Biogen Inc.,BIIB,2015-01-06,346.6400,334.4000,339.9800,334.6500,1898200.0000,49064574325.8355
4,Biogen Inc.,BIIB,2015-01-07,354.0000,338.0500,338.0900,353.2400,2484300.0000,51790139165.7368
4,Biogen Inc.,BIIB,2015-01-08,360.0000,341.7100,359.4200,350.2500,4277700.0000,51351762949.5000
4,Biogen Inc.,BIIB,2015-01-09,352.0800,338.2400,349.7800,342.3400,2562100.0000,50192040942.4013
4,Biogen Inc.,BIIB,2015-01-12,350.0000,343.7100,345.5000,347.8400,1899200.0000,50998421231.4013
4,Biogen Inc.,BIIB,2015-01-13,361.9100,348.3500,352.8100,352.7400,2489400.0000,51716831866.7368
4,Biogen Inc.,BIIB,2015-01-14,355.6100,347.5200,348.0000,348.7500,1429900.0000,51131841052.5000
4,Biogen Inc.,BIIB,2015-01-15,354.5500,339.6600,350.0400,339.8800,1665700.0000,49831370284.1316
4,Biogen Inc.,BIIB,2015-01-16,353.4400,339.3500,339.3700,352.7500,1673000.0000,51718299444.5000
4,Biogen Inc.,BIIB,2015-01-20,365.1900,350.6400,354.5000,363.2800,2076400.0000,53262150982.4671
4,Biogen Inc.,BIIB,2015-01-21,366.1700,358.2200,361.4100,361.8300,1337000.0000,53049558025.6381
4,Biogen Inc.,BIIB,2015-01-22,364.0000,349.4900,364.0000,353.6500,2322900.0000,51850251687.8355
4,Biogen Inc.,BIIB,2015-01-23,359.8700,352.0300,352.9800,357.5300,1077700.0000,52419117043.9671
4,Biogen Inc.,BIIB,2015-01-26,362.8400,355.4500,357.6300,362.4400,1330600.0000,53138995257.0658
4,Biogen Inc.,BIIB,2015-01-27,364.7600,357.1300,358.2800,357.8900,1446300.0000,52471900625.8948
4,Biogen Inc.,BIIB,2015-01-28,361.3800,350.5000,360.2900,351.1800,1486000.0000,51488113451.8026
4,Biogen Inc.,BIIB,2015-01-29,354.6100,345.7600,351.5300,353.2500,1707800.0000,51791606743.5000
4,Biogen Inc.,BIIB,2015-01-30,397.0000,372.7500,372.7500,389.1600,4029800.0000,57056537494.5987
4,Biogen Inc.,BIIB,2015-02-02,394.9800,382.0000,389.0300,390.0000,1832700.0000,57179693220.0000
4,Biogen Inc.,BIIB,2015-02-03,395.5000,386.3400,390.7300,393.8900,1781500.0000,57750026153.8948
4,Biogen Inc.,BIIB,2015-02-04,394.4800,381.3600,388.6000,391.1200,2165000.0000,57343900853.8684
4,Biogen Inc.,BIIB,2015-02-05,402.4000,390.1100,393.7000,401.7900,1576200.0000,58908280583.2303
4,Biogen Inc.,BIIB,2015-02-06,407.9400,399.0000,400.3000,402.0000,1640500.0000,58939068396.0000
4,Biogen Inc.,BIIB,2015-02-09,402.8400,396.4600,398.0500,396.8800,1440400.0000,58188402370.1316
4,Biogen Inc.,BIIB,2015-02-10,400.8600,394.0600,398.0500,395.1300,1811600.0000,57931826823.6316
4,Biogen Inc.,BIIB,2015-02-11,396.8600,388.5300,394.8600,390.0000,1766300.0000,57179693220.0000
4,Biogen Inc.,BIIB,2015-02-12,395.0000,386.1400,394.6900,392.1100,1755100.0000,57489047874.1052
4,Biogen Inc.,BIIB,2015-02-13,394.3900,387.2400,391.6800,391.6600,1180000.0000,57423073989.5987
4,Biogen Inc.,BIIB,2015-02-17,402.2900,388.6700,389.1100,397.9100,1321100.0000,58339415227.0987
4,Biogen Inc.,BIIB,2015-02-18,401.8700,396.5200,396.8300,401.1200,782800.0000,58810046833.8684
4,Biogen Inc.,BIIB,2015-02-19,408.2400,400.5600,401.0400,406.7300,1143500.0000,59632557055.2961
4,Biogen Inc.,BIIB,2015-02-20,409.0300,403.3600,406.4000,408.0500,945900.0000,59826084924.1710
4,Biogen Inc.,BIIB,2015-02-23,411.3200,406.2300,408.2500,408.5800,954400.0000,59903790482.1381
4,Biogen Inc.,BIIB,2015-02-24,410.7400,402.8300,410.2500,404.8900,855200.0000,59362786731.8948
4,Biogen Inc.,BIIB,2015-02-25,412.0200,400.5700,405.3200,408.9400,1114100.0000,59956574064.0658
4,Biogen Inc.,BIIB,2015-02-26,411.7700,406.0700,408.8200,410.1000,863800.0000,60126647534.6645
4,Biogen Inc.,BIIB,2015-02-27,411.3100,405.8000,410.2300,409.5900,1371000.0000,60051872657.9013
4,Biogen Inc.,BIIB,2015-03-02,416.8200,406.4000,410.6700,415.7900,1347300.0000,60960884955.2303
4,Biogen Inc.,BIIB,2015-03-03,415.1700,407.1200,415.0000,412.7900,1235300.0000,60521041161.2303
4,Biogen Inc.,BIIB,2015-03-04,417.1800,406.1000,410.9500,414.1300,1523000.0000,60717504185.6316
4,Biogen Inc.,BIIB,2015-03-05,425.7000,417.0900,417.4200,425.6100,1846200.0000,62400636907.1052
4,Biogen Inc.,BIIB,2015-03-06,424.2300,416.2400,424.2300,417.6300,1643700.0000,61230655278.6316
4,Biogen Inc.,BIIB,2015-03-09,417.6500,411.6000,417.2300,415.5100,1516100.0000,60919833046.7632
4,Biogen Inc.,BIIB,2015-03-10,420.4400,409.6100,409.6700,414.2000,1400700.0000,60727768281.3290
4,Biogen Inc.,BIIB,2015-03-11,416.2400,407.5100,415.3100,408.1100,1426100.0000,59834881442.1052
4,Biogen Inc.,BIIB,2015-03-12,411.4900,406.0200,411.4900,407.6400,1553200.0000,59765976876.3948
4,Biogen Inc.,BIIB,2015-03-13,416.7000,407.0900,407.0900,413.3500,1744700.0000,60603144978.1645
4,Biogen Inc.,BIIB,2015-03-16,422.3700,414.2200,415.4600,421.3200,1564500.0000,61771663503.1974
4,Biogen Inc.,BIIB,2015-03-17,426.4800,417.5000,420.1000,426.1200,1968900.0000,62475411783.8684
4,Biogen Inc.,BIIB,2015-03-18,431.0000,417.0500,425.0000,427.9300,2030300.0000,62740783848.3026
4,Biogen Inc.,BIIB,2015-03-19,439.9000,431.3300,434.8000,433.6500,2471900.0000,63579419527.8355
4,Biogen Inc.,BIIB,2015-03-20,480.1800,456.0600,475.9200,475.9800,10643200.0000,69785617966.7961
4,Biogen Inc.,BIIB,2015-03-23,474.0000,460.5000,466.0700,463.7300,3712600.0000,67989589141.2961
4,Biogen Inc.,BIIB,2015-03-24,467.6400,452.0100,462.9900,452.7100,2481400.0000,66373893407.7697
4,Biogen Inc.,BIIB,2015-03-25,450.2500,431.3900,449.0600,431.6300,3743700.0000,63283259650.6316
4,Biogen Inc.,BIIB,2015-03-26,432.8800,420.4100,427.8000,428.9300,3353800.0000,62887398446.3026
4,Biogen Inc.,BIIB,2015-03-27,436.6700,429.3600,430.1200,429.8700,1859200.0000,63025216526.3684
4,Biogen Inc.,BIIB,2015-03-30,437.0000,428.6000,433.6800,431.6200,1600100.0000,63281792072.8684
4,Biogen Inc.,BIIB,2015-03-31,433.9800,422.1000,430.1600,422.2400,1808700.0000,61906546427.7368
4,Biogen Inc.,BIIB,2015-04-01,423.4700,407.5500,423.2000,413.8100,2709200.0000,60670586440.4342
4,Biogen Inc.,BIIB,2015-04-02,416.4800,410.6400,415.4000,412.4400,1700700.0000,60469725157.0658
4,Biogen Inc.,BIIB,2015-04-06,420.0900,408.2100,408.7500,413.4200,1873800.0000,60613409073.8619
4,Biogen Inc.,BIIB,2015-04-07,425.3700,415.1300,415.5000,418.0900,1571900.0000,61298096740.9013
4,Biogen Inc.,BIIB,2015-04-08,427.5100,418.1000,419.3000,425.3600,1540100.0000,62363983257.6052
4,Biogen Inc.,BIIB,2015-04-09,431.7800,419.4800,424.6000,426.6300,1340900.0000,62550186660.6316
4,Biogen Inc.,BIIB,2015-04-10,428.8300,420.5000,426.1600,425.6500,1063000.0000,62406502743.8355
4,Biogen Inc.,BIIB,2015-04-13,432.4700,422.5200,426.7000,423.3600,1263300.0000,62070754061.6052
4,Biogen Inc.,BIIB,2015-04-14,426.4800,417.7100,423.9900,423.5700,1365100.0000,62101546348.6974
4,Biogen Inc.,BIIB,2015-04-15,432.7400,424.5700,430.7600,430.9600,2038100.0000,63185025901.2697
4,Biogen Inc.,BIIB,2015-04-16,432.8800,428.0000,428.1400,428.6500,1109000.0000,62846346537.8355
4,Biogen Inc.,BIIB,2015-04-17,426.9900,416.8400,424.0000,419.4400,1837600.0000,61496027343.0658
4,Biogen Inc.,BIIB,2015-04-20,424.7700,419.0000,424.6600,422.9200,1183300.0000,62006247754.8619
4,Biogen Inc.,BIIB,2015-04-21,426.1700,420.1700,425.1900,422.1100,1224600.0000,61887485814.1052
4,Biogen Inc.,BIIB,2015-04-22,425.9600,418.5500,423.8800,423.5700,1298200.0000,62101546348.6974
4,Biogen Inc.,BIIB,2015-04-23,431.8400,421.0000,423.0000,430.2800,1938200.0000,63085329048.4671
4,Biogen Inc.,BIIB,2015-04-24,410.8700,395.0000,410.0000,401.7100,6084400.0000,58896548909.7697
4,Biogen Inc.,BIIB,2015-04-27,403.4500,388.0800,401.7500,389.2700,3432000.0000,57072662952.7039
4,Biogen Inc.,BIIB,2015-04-28,391.8700,374.3600,388.8000,374.6800,4923900.0000,54933556504.8026
4,Biogen Inc.,BIIB,2015-04-29,388.4500,376.0000,377.9700,383.7800,3255600.0000,56267750241.4671
4,Biogen Inc.,BIIB,2015-04-30,383.8300,368.8800,380.8900,373.9300,2685900.0000,54823595556.3026
4,Biogen Inc.,BIIB,2015-05-01,388.1400,377.5200,377.5200,386.2200,2737400.0000,56625490218.5329
4,Biogen Inc.,BIIB,2015-05-04,393.8900,384.7500,389.4500,386.2200,1456400.0000,56625490218.5329
4,Biogen Inc.,BIIB,2015-05-05,388.4500,381.0000,385.0000,385.8000,1594800.0000,56563910118.6710
4,Biogen Inc.,BIIB,2015-05-06,389.9900,380.4100,387.2500,383.5600,1279700.0000,56235494850.9342
4,Biogen Inc.,BIIB,2015-05-07,388.0700,380.6100,384.0000,383.2900,1298100.0000,56195910520.2303
4,Biogen Inc.,BIIB,2015-05-08,399.5000,390.0300,390.8800,398.4300,2037800.0000,58415653207.3026
4,Biogen Inc.,BIIB,2015-05-11,404.0000,395.0000,403.2000,396.9100,1574400.0000,58192800629.0987
4,Biogen Inc.,BIIB,2015-05-12,397.7800,389.0000,393.2000,395.3000,1142500.0000,57956748799.6710
4,Biogen Inc.,BIIB,2015-05-13,398.3800,388.7200,396.0000,390.0400,1169500.0000,57185559056.7303
4,Biogen Inc.,BIIB,2015-05-14,395.1100,387.3700,392.9800,394.3500,1612600.0000,57817467616.1645
4,Biogen Inc.,BIIB,2015-05-15,398.1900,389.0800,395.0000,391.2400,1442900.0000,57361493889.7368
4,Biogen Inc.,BIIB,2015-05-18,396.4100,389.2200,389.3800,395.4200,995700.0000,57974346309.8619
4,Biogen Inc.,BIIB,2015-05-19,400.1100,393.9600,396.0100,395.1700,1347000.0000,57937692660.3619
4,Biogen Inc.,BIIB,2015-05-20,403.4800,391.6100,394.5000,401.0000,1478500.0000,58792453798.0000
4,Biogen Inc.,BIIB,2015-05-21,401.6500,397.9700,400.2400,401.1500,859000.0000,58814445092.8355
4,Biogen Inc.,BIIB,2015-05-22,401.7900,397.4000,399.1900,398.6800,829800.0000,58452306856.8026
4,Biogen Inc.,BIIB,2015-05-26,399.9300,391.6200,397.1700,392.8800,899800.0000,57601943978.1316
4,Biogen Inc.,BIIB,2015-05-27,403.2200,391.5200,393.8100,402.9200,1117000.0000,59073955794.8619
4,Biogen Inc.,BIIB,2015-05-28,403.8500,399.1000,402.3000,400.1000,789100.0000,58660501554.6645
4,Biogen Inc.,BIIB,2015-05-29,401.8900,395.6400,400.0900,396.9900,1303100.0000,58204527828.2368
4,Biogen Inc.,BIIB,2015-06-01,399.5800,391.0000,398.8700,393.3500,1192600.0000,57670853018.1645
4,Biogen Inc.,BIIB,2015-06-02,391.7600,384.0000,391.3600,387.6200,1947100.0000,56830749760.8684
4,Biogen Inc.,BIIB,2015-06-03,393.7900,387.3300,388.7700,387.4800,1281500.0000,56810226043.7961
4,Biogen Inc.,BIIB,2015-06-04,387.5400,382.5400,385.5000,384.3400,1527600.0000,56349854058.4013
4,Biogen Inc.,BIIB,2015-06-05,389.7500,381.5700,382.8800,387.8600,998800.0000,56865935832.6052
4,Biogen Inc.,BIIB,2015-06-08,389.3900,384.6700,387.6600,386.3700,777000.0000,56647481513.3684
4,Biogen Inc.,BIIB,2015-06-09,385.8800,378.8200,384.2700,382.0000,1260800.0000,56006776436.0000
4,Biogen Inc.,BIIB,2015-06-10,390.0600,378.0000,382.9700,388.5000,1573300.0000,56959771323.0000
4,Biogen Inc.,BIIB,2015-06-11,395.1500,390.1600,390.6000,393.5400,1323300.0000,57698710149.7303
4,Biogen Inc.,BIIB,2015-06-12,395.8000,386.2500,391.2600,388.7700,1078400.0000,56999355653.7039
4,Biogen Inc.,BIIB,2015-06-15,390.4300,382.0200,386.6400,388.2800,1048000.0000,56927515932.4671
4,Biogen Inc.,BIIB,2015-06-16,390.9900,385.4600,386.5900,388.2800,930900.0000,56927515932.4671
