SNo,Name,Ticker,Date,High,Low,Open,Close,Volume,Marketcap
6,"Gilead Sciences, Inc.",GILD,2015-01-02,96.6500,94.5200,95.1400,94.9100,12340200.0000,117764988941.5306
6,"Gilead Sciences, Inc.",GILD,2015-01-05,98.7300,93.1800,95.2400,96.7900,27530400.0000,120097702535.6327
6,"Gilead Sciences, Inc.",GILD,2015-01-06,99.3400,96.0900,98.4700,97.6500,22363800.0000,121164797240.7211
6,"Gilead Sciences, Inc.",GILD,2015-01-07,99.9000,98.4400,99.3100,99.4800,16373700.0000,123435476168.9864
6,"Gilead Sciences, Inc.",GILD,2015-01-08,102.4500,100.2900,100.8000,102.3000,18902300.0000,126934551293.4422
6,"Gilead Sciences, Inc.",GILD,2015-01-09,103.8300,101.7500,103.5200,102.2100,14738100.0000,126822873748.3673
6,"Gilead Sciences, Inc.",GILD,2015-01-12,103.3400,100.7600,102.8400,101.2100,12746000.0000,125582066832.3673
6,"Gilead Sciences, Inc.",GILD,2015-01-13,101.8800,95.2500,101.8500,97.2100,27030600.0000,120618839168.3673
6,"Gilead Sciences, Inc.",GILD,2015-01-14,100.0900,95.7100,96.0000,99.2600,16183700.0000,123162497132.8095
6,"Gilead Sciences, Inc.",GILD,2015-01-15,100.3900,97.2300,99.3000,97.4000,11442200.0000,120854595511.7211
6,"Gilead Sciences, Inc.",GILD,2015-01-16,100.8900,97.0700,97.4200,100.7100,14097700.0000,124961663374.3673
6,"Gilead Sciences, Inc.",GILD,2015-01-20,104.0500,100.1500,101.1400,103.7800,18838100.0000,128770940227.8231
6,"Gilead Sciences, Inc.",GILD,2015-01-21,105.0700,102.5700,103.0400,103.5800,12312500.0000,128522782631.2653
6,"Gilead Sciences, Inc.",GILD,2015-01-22,105.1800,101.5600,104.1400,105.1400,12963100.0000,130458438390.9116
6,"Gilead Sciences, Inc.",GILD,2015-01-23,106.1100,103.8000,104.4000,105.5400,9593500.0000,130954763050.6327
6,"Gilead Sciences, Inc.",GILD,2015-01-26,107.7700,104.8700,104.8700,107.1100,10307500.0000,132902829530.0884
6,"Gilead Sciences, Inc.",GILD,2015-01-27,107.0200,104.8600,105.9400,105.0300,10341100.0000,130321948872.8231
6,"Gilead Sciences, Inc.",GILD,2015-01-28,105.5000,102.3500,105.3200,102.4500,11554500.0000,127120664757.5578
6,"Gilead Sciences, Inc.",GILD,2015-01-29,104.5100,101.0700,102.5000,104.1800,8410500.0000,129267264887.5442
