SNo,Name,Ticker,Date,High,Low,Open,Close,Volume,Marketcap
7,GlaxoSmithKline plc,GSK,2015-01-02,42.8900,42.3500,42.7000,42.3700,3116600.0000,85218666486.4627
7,GlaxoSmithKline plc,GSK,2015-01-05,42.0100,41.4100,41.6200,41.9100,7301100.0000,84293471547.7804
7,GlaxoSmithKline plc,GSK,2015-01-06,42.0700,41.2500,41.7300,41.6800,6444100.0000,83830874078.4392
7,GlaxoSmithKline plc,GSK,2015-01-07,42.2500,41.5900,41.7600,42.1100,6025800.0000,84695732551.8785
7,GlaxoSmithKline plc,GSK,2015-01-08,43.3300,42.7900,42.8800,43.1900,5294700.0000,86867929698.0234
7,GlaxoSmithKline plc,GSK,2015-01-09,43.0800,42.6300,42.9900,42.8000,3331900.0000,86083524959.9019
7,GlaxoSmithKline plc,GSK,2015-01-12,43.1600,42.4600,43.0400,42.9300,4714400.0000,86344995763.4392
7,GlaxoSmithKline plc,GSK,2015-01-13,43.5800,42.6800,43.4300,42.9100,3214700.0000,86304768895.7804
7,GlaxoSmithKline plc,GSK,2015-01-14,42.8800,42.4400,42.4600,42.8500,3441800.0000,86184088292.8038
7,GlaxoSmithKline plc,GSK,2015-01-15,43.1200,42.5400,42.5500,42.9100,3970500.0000,86304768895.7804
7,GlaxoSmithKline plc,GSK,2015-01-16,43.7100,43.1100,43.2000,43.7000,3124200.0000,87893695642.0981
7,GlaxoSmithKline plc,GSK,2015-01-20,44.2300,43.6900,44.1600,44.1600,4343900.0000,88818890580.7804
7,GlaxoSmithKline plc,GSK,2015-01-21,44.7800,43.9600,44.1000,44.7100,5039300.0000,89925102587.6823
7,GlaxoSmithKline plc,GSK,2015-01-22,45.2400,44.7600,44.8400,44.9600,4781800.0000,90427926924.6823
7,GlaxoSmithKline plc,GSK,2015-01-23,45.2500,44.7700,44.8700,45.0100,3102900.0000,90528490257.5842
7,GlaxoSmithKline plc,GSK,2015-01-26,45.3800,44.8400,45.0000,45.1900,3382300.0000,90890524394.0234
7,GlaxoSmithKline plc,GSK,2015-01-27,45.3700,44.9800,45.3300,45.1600,3954500.0000,90830187928.7804
7,GlaxoSmithKline plc,GSK,2015-01-28,45.5700,44.9400,45.4500,44.9900,3613000.0000,90488271062.4158
7,GlaxoSmithKline plc,GSK,2015-01-29,45.3500,44.7400,45.3500,45.1600,3144900.0000,90830187928.7804
7,GlaxoSmithKline plc,GSK,2015-01-30,44.6700,44.0000,44.6100,44.0000,3054600.0000,88497083312.0000
7,GlaxoSmithKline plc,GSK,2015-02-02,44.1200,43.7100,44.1100,43.9600,3654500.0000,88416629576.6823
7,GlaxoSmithKline plc,GSK,2015-02-03,44.3000,43.9200,44.2800,44.2600,4882700.0000,89020017246.5842
7,GlaxoSmithKline plc,GSK,2015-02-04,45.1400,44.4400,45.0000,44.9500,5885800.0000,90407817327.0981
7,GlaxoSmithKline plc,GSK,2015-02-05,46.0200,45.5300,45.8400,45.9500,5129900.0000,92419114675.0981
7,GlaxoSmithKline plc,GSK,2015-02-06,46.6300,45.8700,46.6200,46.0000,6005400.0000,92519678008.0000
7,GlaxoSmithKline plc,GSK,2015-02-09,46.5000,46.0300,46.1500,46.3900,5759400.0000,93304082746.1215
7,GlaxoSmithKline plc,GSK,2015-02-10,46.3000,46.1300,46.1300,46.2500,3774100.0000,93022502345.0000
7,GlaxoSmithKline plc,GSK,2015-02-11,46.2800,46.0400,46.1400,46.2100,2509600.0000,92942048609.6823
7,GlaxoSmithKline plc,GSK,2015-02-12,46.0100,45.5600,45.8600,45.9500,3597500.0000,92419114675.0981
7,GlaxoSmithKline plc,GSK,2015-02-13,47.9600,47.3800,47.4900,47.9400,6009500.0000,96421592101.0234
7,GlaxoSmithKline plc,GSK,2015-02-17,47.8500,47.1600,47.3200,47.7100,3906100.0000,95958994631.6823
7,GlaxoSmithKline plc,GSK,2015-02-18,47.3800,47.0800,47.1400,47.3000,3269900.0000,95134363025.9019
7,GlaxoSmithKline plc,GSK,2015-02-19,47.2600,46.7100,47.1300,47.0300,2703100.0000,94591311821.2430
7,GlaxoSmithKline plc,GSK,2015-02-20,47.3500,46.7900,46.9700,47.3500,2287200.0000,95234926358.8038
7,GlaxoSmithKline plc,GSK,2015-02-23,47.4900,47.0500,47.1300,47.2900,2416400.0000,95114253428.3177
7,GlaxoSmithKline plc,GSK,2015-02-24,47.7900,47.2400,47.4100,47.7000,4490300.0000,95938885034.0981
7,GlaxoSmithKline plc,GSK,2015-02-25,47.8900,47.4900,47.7300,47.7200,4877700.0000,95979111901.7570
7,GlaxoSmithKline plc,GSK,2015-02-26,47.9700,47.6900,47.7400,47.8400,3346800.0000,96220465435.2196
7,GlaxoSmithKline plc,GSK,2015-02-27,47.7300,47.3500,47.5800,47.4200,3506800.0000,95375716559.3646
7,GlaxoSmithKline plc,GSK,2015-03-02,47.9700,47.4500,47.4800,47.9300,2726400.0000,96401482503.4392
7,GlaxoSmithKline plc,GSK,2015-03-03,48.1100,47.5100,48.0200,47.7100,2923100.0000,95958994631.6823
7,GlaxoSmithKline plc,GSK,2015-03-04,47.9900,47.3400,47.7500,47.8200,3122300.0000,96180238567.5608
7,GlaxoSmithKline plc,GSK,2015-03-05,48.0300,47.5100,48.0000,47.6000,2521700.0000,95737750695.8038
7,GlaxoSmithKline plc,GSK,2015-03-06,47.2800,46.7200,47.1600,46.7300,2899200.0000,93987924151.3411
7,GlaxoSmithKline plc,GSK,2015-03-09,47.1000,46.7500,46.8200,47.0600,2089900.0000,94651655958.9766
7,GlaxoSmithKline plc,GSK,2015-03-10,46.7400,45.9200,46.7300,46.0300,4131600.0000,92580014473.2430
7,GlaxoSmithKline plc,GSK,2015-03-11,45.8600,45.3200,45.7500,45.6300,4430300.0000,91775500137.5373
7,GlaxoSmithKline plc,GSK,2015-03-12,46.4500,45.9800,46.1300,46.3700,4322400.0000,93263855878.4627
7,GlaxoSmithKline plc,GSK,2015-03-13,46.4300,45.7400,45.7800,46.3700,4085800.0000,93263855878.4627
7,GlaxoSmithKline plc,GSK,2015-03-16,47.0700,46.4900,46.4900,46.9700,3285200.0000,94470638890.7570
7,GlaxoSmithKline plc,GSK,2015-03-17,47.3600,46.7900,46.8200,47.2300,2736100.0000,94993572825.3411
7,GlaxoSmithKline plc,GSK,2015-03-18,48.8400,47.3700,47.4800,48.7400,4821700.0000,98030636117.4158
7,GlaxoSmithKline plc,GSK,2015-03-19,48.3800,47.8300,48.3600,48.2100,3152500.0000,96964643305.6823
7,GlaxoSmithKline plc,GSK,2015-03-20,49.0800,48.4100,48.5000,48.8100,3627500.0000,98171426317.9766
7,GlaxoSmithKline plc,GSK,2015-03-23,48.8100,47.9700,48.8100,48.3700,3503900.0000,97286450574.4627
7,GlaxoSmithKline plc,GSK,2015-03-24,48.2100,47.7100,48.1400,47.7300,2415400.0000,95999221499.3411
7,GlaxoSmithKline plc,GSK,2015-03-25,48.0000,47.3500,47.8700,47.3500,2261200.0000,95234926358.8038
7,GlaxoSmithKline plc,GSK,2015-03-26,47.3100,46.6100,47.2300,46.6600,3377400.0000,93847133950.7804
7,GlaxoSmithKline plc,GSK,2015-03-27,47.0600,46.7700,46.8900,47.0200,2595600.0000,94571202223.6589
7,GlaxoSmithKline plc,GSK,2015-03-30,47.2500,46.9200,46.9800,47.2000,2410300.0000,94933236360.0981
7,GlaxoSmithKline plc,GSK,2015-03-31,46.3400,45.9500,46.0300,46.1500,4366000.0000,92821375679.1962
7,GlaxoSmithKline plc,GSK,2015-04-01,46.8200,46.3000,46.8200,46.6900,4581300.0000,93907470416.0234
7,GlaxoSmithKline plc,GSK,2015-04-02,46.9000,46.5100,46.6100,46.7100,2212800.0000,93947697283.6823
7,GlaxoSmithKline plc,GSK,2015-04-06,47.1400,46.6800,46.7600,47.0100,1538700.0000,94551084953.5842
7,GlaxoSmithKline plc,GSK,2015-04-07,47.6000,47.0000,47.3300,47.2600,2558900.0000,95053909290.5842
7,GlaxoSmithKline plc,GSK,2015-04-08,47.9900,47.2500,47.9300,47.4100,2334000.0000,95355606961.7804
7,GlaxoSmithKline plc,GSK,2015-04-09,47.8000,47.4800,47.6000,47.7200,2609100.0000,95979111901.7570
7,GlaxoSmithKline plc,GSK,2015-04-10,48.4100,47.7100,47.7400,48.2300,3036700.0000,97004870173.3411
