SNo,Name,Ticker,Date,High,Low,Open,Close,Volume,Marketcap
17613,Johnson & Johnson,JNJ,2015-01-02,105.5500,104.1300,105.0500,104.5200,5753600.0000,251719570816.8063
17614,Johnson & Johnson,JNJ,2015-01-05,104.7300,103.6800,104.4800,103.7900,8079300.0000,249961493729.7801
17615,Johnson & Johnson,JNJ,2015-01-06,104.9900,102.9400,104.3400,103.2800,7428000.0000,248733235760.2932
17616,Johnson & Johnson,JNJ,2015-01-07,105.8300,103.8100,103.9100,105.5600,7931700.0000,254224245448.5864
17617,Johnson & Johnson,JNJ,2015-01-08,106.4900,105.7500,106.0600,106.3900,9916000.0000,256223171122.1466
17618,Johnson & Johnson,JNJ,2015-01-09,106.5000,104.7500,106.5000,104.9400,7364800.0000,252731087107.4136
17619,Johnson & Johnson,JNJ,2015-01-12,105.8200,104.3000,105.1700,104.5800,6839000.0000,251864083643.5602
17620,Johnson & Johnson,JNJ,2015-01-13,106.3300,104.2400,105.4400,104.7600,10151100.0000,252297585375.4869
17621,Johnson & Johnson,JNJ,2015-01-14,104.4300,103.5100,103.8600,104.0000,8887700.0000,250467242688.0000
17622,Johnson & Johnson,JNJ,2015-01-15,103.9300,101.9500,102.9700,102.4900,10834800.0000,246830645846.5131
17623,Johnson & Johnson,JNJ,2015-01-16,104.6200,102.0000,102.0600,104.0400,14092300.0000,250563578447.7801
17624,Johnson & Johnson,JNJ,2015-01-20,102.0500,100.2600,101.5500,101.2900,20460000.0000,243940646549.7801
17625,Johnson & Johnson,JNJ,2015-01-21,102.1000,100.4000,100.5600,101.9000,11702900.0000,245409734731.6335
17626,Johnson & Johnson,JNJ,2015-01-22,103.8300,101.5700,102.3900,103.7600,9036600.0000,249889246503.4869
17627,Johnson & Johnson,JNJ,2015-01-23,102.9700,101.9400,102.9400,102.2000,10126000.0000,246132225368.7330
17628,Johnson & Johnson,JNJ,2015-01-26,102.4500,101.2100,101.8000,102.2600,8962800.0000,246276738195.4869
17629,Johnson & Johnson,JNJ,2015-01-27,102.7700,100.9300,101.8300,102.0900,10160500.0000,245867306622.8796
17630,Johnson & Johnson,JNJ,2015-01-28,102.9300,101.4400,102.4800,101.4800,9053200.0000,244398236815.1937
17631,Johnson & Johnson,JNJ,2015-01-29,102.4600,100.6700,101.5100,102.3800,7569300.0000,246565727100.6597
17632,Johnson & Johnson,JNJ,2015-01-30,102.0000,100.0900,101.5800,100.1400,10676300.0000,241171053172.1466
17633,Johnson & Johnson,JNJ,2015-02-02,100.8500,99.3800,100.4900,100.8300,8990700.0000,242832812873.5602
17634,Johnson & Johnson,JNJ,2015-02-03,102.5600,101.1200,101.4000,102.4600,10005200.0000,246758398620.2199
17635,Johnson & Johnson,JNJ,2015-02-04,102.4500,101.0200,102.1200,101.3600,9514100.0000,244109229535.8534
17636,Johnson & Johnson,JNJ,2015-02-05,102.5600,101.4600,101.5700,102.4600,6642200.0000,246758398620.2199
17637,Johnson & Johnson,JNJ,2015-02-06,102.4500,100.8300,102.1100,101.1000,9215700.0000,243483056284.3665
17638,Johnson & Johnson,JNJ,2015-02-09,101.0600,99.1000,101.0600,99.7800,9851700.0000,240304049708.2932
17639,Johnson & Johnson,JNJ,2015-02-10,100.7000,99.4300,100.1900,100.3500,12275500.0000,241676802130.3665
17640,Johnson & Johnson,JNJ,2015-02-11,100.7900,99.9500,100.4600,100.3800,8177000.0000,241749049356.6597
17641,Johnson & Johnson,JNJ,2015-02-12,100.5400,97.1500,100.5000,98.4400,25835200.0000,237076884439.4136
17642,Johnson & Johnson,JNJ,2015-02-13,99.6700,98.3300,98.4400,99.6200,11153600.0000,239918725043.3403
17643,Johnson & Johnson,JNJ,2015-02-17,100.4800,99.1200,99.3900,100.4400,8627100.0000,241893562183.4136
17644,Johnson & Johnson,JNJ,2015-02-18,100.9400,99.3800,100.7000,99.9600,7878200.0000,240737551440.2199
17645,Johnson & Johnson,JNJ,2015-02-19,100.8400,99.6100,99.9500,100.7000,10028200.0000,242519717060.7330
17646,Johnson & Johnson,JNJ,2015-02-20,100.3700,99.1100,100.1800,100.2600,10085700.0000,241460060451.4869
17647,Johnson & Johnson,JNJ,2015-02-23,100.7700,99.8000,100.7400,100.1800,6878200.0000,241267388931.9267
17648,Johnson & Johnson,JNJ,2015-02-24,101.0500,100.0000,100.2500,100.7000,6587200.0000,242519717060.7330
17649,Johnson & Johnson,JNJ,2015-02-25,101.2900,100.1600,100.9400,101.2100,9684000.0000,243747975030.2199
17650,Johnson & Johnson,JNJ,2015-02-26,103.1800,101.2200,101.3800,102.8000,11437900.0000,247577243391.2670
17651,Johnson & Johnson,JNJ,2015-02-27,103.3300,102.4800,103.0400,102.5100,8500000.0000,246878822913.4869
17652,Johnson & Johnson,JNJ,2015-03-02,103.4100,102.5100,102.5100,103.2200,7277600.0000,248588741307.7068
17653,Johnson & Johnson,JNJ,2015-03-03,103.1000,101.8100,103.1000,102.3400,6419700.0000,246469391340.8796
17654,Johnson & Johnson,JNJ,2015-03-04,102.1200,101.1700,102.1200,101.6500,8665500.0000,244807650013.6335
17655,Johnson & Johnson,JNJ,2015-03-05,103.2100,102.0000,102.0700,102.5200,8042300.0000,246902893072.8063
17656,Johnson & Johnson,JNJ,2015-03-06,102.4300,99.8800,102.0900,100.1100,9287600.0000,241098805945.8534
17657,Johnson & Johnson,JNJ,2015-03-09,100.9200,99.7600,100.2000,100.6600,5701100.0000,242423399675.1204
17658,Johnson & Johnson,JNJ,2015-03-10,100.4400,99.5100,99.9900,99.5300,8735700.0000,239701964990.2932
17659,Johnson & Johnson,JNJ,2015-03-11,99.8300,98.2200,99.8300,98.3200,9138100.0000,236787877160.0733
17660,Johnson & Johnson,JNJ,2015-03-12,100.2400,98.8300,98.9600,99.8300,8318000.0000,240424474001.5602
17661,Johnson & Johnson,JNJ,2015-03-13,100.0500,98.6400,99.8500,99.2100,7821800.0000,238931297286.2199
17662,Johnson & Johnson,JNJ,2015-03-16,101.0700,99.7400,99.7400,101.0600,7726500.0000,243386720524.5864
17663,Johnson & Johnson,JNJ,2015-03-17,100.5200,99.4100,100.1100,99.8900,7301500.0000,240568968454.1466
17664,Johnson & Johnson,JNJ,2015-03-18,101.7400,99.1300,99.8900,101.4600,7972500.0000,244350059748.2199
17665,Johnson & Johnson,JNJ,2015-03-19,101.9600,100.9100,101.0400,101.6900,6863100.0000,244903985773.4136
17666,Johnson & Johnson,JNJ,2015-03-20,102.9000,101.7600,101.8700,102.4000,12433800.0000,246613904167.6335
17667,Johnson & Johnson,JNJ,2015-03-23,103.3500,102.2300,102.4700,102.9800,9016000.0000,248010745123.1937
17668,Johnson & Johnson,JNJ,2015-03-24,103.2300,101.9300,102.8300,101.9600,8390700.0000,245554229184.2199
17669,Johnson & Johnson,JNJ,2015-03-25,102.5000,100.3400,101.8500,100.3400,8444100.0000,241652713596.8796
17670,Johnson & Johnson,JNJ,2015-03-26,100.8100,99.5600,99.9500,100.1400,9972400.0000,241171053172.1466
17671,Johnson & Johnson,JNJ,2015-03-27,100.9500,100.1500,100.2800,100.3400,5847400.0000,241652713596.8796
17672,Johnson & Johnson,JNJ,2015-03-30,101.8600,100.7600,101.2400,101.5500,6061200.0000,244566819801.2670
17673,Johnson & Johnson,JNJ,2015-03-31,101.4900,100.5900,100.9700,100.6000,8028000.0000,242278886848.3665
17674,Johnson & Johnson,JNJ,2015-04-01,100.4600,98.6100,100.4600,99.1500,11368100.0000,238786802833.6335
17675,Johnson & Johnson,JNJ,2015-04-02,99.9900,98.8900,99.4400,99.6400,6097100.0000,239966883736.1466
17676,Johnson & Johnson,JNJ,2015-04-06,99.5600,98.0400,98.8400,99.1600,9697600.0000,238810891367.1204
17677,Johnson & Johnson,JNJ,2015-04-07,100.8700,99.4300,99.5500,100.1000,7900300.0000,241074717412.3665
17678,Johnson & Johnson,JNJ,2015-04-08,100.4500,99.6000,99.8400,100.1600,7354100.0000,241219230239.1204
17679,Johnson & Johnson,JNJ,2015-04-09,101.6500,100.3300,100.5700,101.3300,8073900.0000,244036982309.5602
17680,Johnson & Johnson,JNJ,2015-04-10,102.1400,100.9300,101.3300,102.0600,6786500.0000,245795059396.5864
17681,Johnson & Johnson,JNJ,2015-04-13,101.9800,100.5500,101.5400,100.5500,10753500.0000,242158480929.2670
17682,Johnson & Johnson,JNJ,2015-04-14,101.4600,100.1900,101.0500,100.5200,9322200.0000,242086215328.8063
17683,Johnson & Johnson,JNJ,2015-04-15,101.2400,100.3300,100.5400,100.6000,8237100.0000,242278886848.3665
17684,Johnson & Johnson,JNJ,2015-04-16,100.3200,99.7700,100.2700,99.7900,7324800.0000,240328138241.7801
17685,Johnson & Johnson,JNJ,2015-04-17,99.8500,99.1100,99.3700,99.5800,11084200.0000,239822389283.5602
17686,Johnson & Johnson,JNJ,2015-04-20,100.8800,100.0500,100.2600,100.2100,6668500.0000,241339636158.2199
17687,Johnson & Johnson,JNJ,2015-04-21,100.9900,100.1600,100.6600,100.3000,6532700.0000,241556396211.2670
17688,Johnson & Johnson,JNJ,2015-04-22,100.8000,99.9600,100.6300,100.4300,4763900.0000,241869473649.9267
17689,Johnson & Johnson,JNJ,2015-04-23,100.8200,99.9100,100.5000,100.4600,7351500.0000,241941720876.2199
17690,Johnson & Johnson,JNJ,2015-04-24,101.5300,100.0000,100.1100,101.0800,6566900.0000,243434897591.5602
17691,Johnson & Johnson,JNJ,2015-04-27,101.6000,100.4700,101.1600,100.5800,9113900.0000,242230728155.5602
17692,Johnson & Johnson,JNJ,2015-04-28,100.9500,99.3100,100.4500,100.7400,7484600.0000,242616052820.5131
