SNo,Name,Ticker,Date,High,Low,Open,Close,Volume,Marketcap
20129,Eli Lilly and Company,LLY,2015-01-02,70.8200,69.7200,69.7700,70.0600,3146200.0000,62805758346.9249
20130,Eli Lilly and Company,LLY,2015-01-05,70.0900,69.1500,69.7300,69.3700,4845500.0000,62187207834.0220
20131,Eli Lilly and Company,LLY,2015-01-06,70.9100,69.2000,69.9200,69.7200,5127400.0000,62500966331.7876
20132,Eli Lilly and Company,LLY,2015-01-07,70.5300,68.4500,70.0300,69.2300,9043000.0000,62061704434.9158
20133,Eli Lilly and Company,LLY,2015-01-08,71.4900,69.6600,70.0000,70.8700,7472200.0000,63531892972.5220
20134,Eli Lilly and Company,LLY,2015-01-09,70.1100,69.0100,70.0300,69.9300,8141700.0000,62689221430.4469
20135,Eli Lilly and Company,LLY,2015-01-12,70.6100,69.2800,70.2200,69.4200,5797600.0000,62232026568.3186
20136,Eli Lilly and Company,LLY,2015-01-13,70.8000,68.8100,70.0700,69.3800,3364800.0000,62196167477.2280
20137,Eli Lilly and Company,LLY,2015-01-14,69.8800,68.7100,68.7700,69.7600,3376100.0000,62536825422.8782
20138,Eli Lilly and Company,LLY,2015-01-15,71.2700,69.7300,70.4400,69.7400,4055000.0000,62518892457.6218
20139,Eli Lilly and Company,LLY,2015-01-16,70.8800,69.4400,69.5900,70.6800,4263300.0000,63361563999.6969
20140,Eli Lilly and Company,LLY,2015-01-20,72.1000,70.8700,70.8700,72.0300,6163300.0000,64571779256.4624
20141,Eli Lilly and Company,LLY,2015-01-21,72.5000,71.1100,71.6200,72.2400,5195900.0000,64760034355.1218
20142,Eli Lilly and Company,LLY,2015-01-22,72.6900,71.6400,72.6900,72.4600,4582800.0000,64957255936.4093
20143,Eli Lilly and Company,LLY,2015-01-23,72.8600,72.0500,72.4600,72.1300,2903200.0000,64661423564.4780
20144,Eli Lilly and Company,LLY,2015-01-26,72.1700,71.0600,71.8600,72.1100,3466600.0000,64643497438.6438
20145,Eli Lilly and Company,LLY,2015-01-27,72.1400,71.4500,71.7600,71.7300,3661600.0000,64302846332.4158
20146,Eli Lilly and Company,LLY,2015-01-28,72.3800,70.7600,72.1100,70.9700,3105200.0000,63621537280.5376
20147,Eli Lilly and Company,LLY,2015-01-29,72.1600,70.4200,70.9700,72.1100,4416600.0000,64643497438.6438
20148,Eli Lilly and Company,LLY,2015-01-30,73.4700,71.5800,73.0200,72.0000,6720100.0000,64544886648.0000
20149,Eli Lilly and Company,LLY,2015-02-02,72.0000,70.2300,71.8700,71.6900,6274500.0000,64266987241.3251
20150,Eli Lilly and Company,LLY,2015-02-03,71.6400,69.8500,71.5900,70.8900,6811500.0000,63549819098.3562
20151,Eli Lilly and Company,LLY,2015-02-04,70.4900,69.7700,70.2300,70.2200,5376400.0000,62949194711.2876
20152,Eli Lilly and Company,LLY,2015-02-05,71.5700,70.6800,70.7000,71.4100,3847000.0000,64015980443.1127
20153,Eli Lilly and Company,LLY,2015-02-06,71.3900,70.2400,71.1600,70.3600,3246000.0000,63074698110.3938
20154,Eli Lilly and Company,LLY,2015-02-09,70.2600,69.3800,70.0000,69.6100,3771200.0000,62402355541.1438
20155,Eli Lilly and Company,LLY,2015-02-10,70.5600,69.8900,70.1100,70.5000,6888000.0000,63200201509.5000
20156,Eli Lilly and Company,LLY,2015-02-11,70.6200,69.7000,70.0000,69.9500,3456400.0000,62707147556.2811
20157,Eli Lilly and Company,LLY,2015-02-12,70.5500,69.8300,70.1900,70.5300,3383500.0000,63227094117.9624
20158,Eli Lilly and Company,LLY,2015-02-13,70.8900,70.1900,70.6900,70.5600,2691900.0000,63253986726.4249
20159,Eli Lilly and Company,LLY,2015-02-17,71.6300,70.3000,70.4100,71.5600,3971600.0000,64150443485.4249
20160,Eli Lilly and Company,LLY,2015-02-18,71.4500,70.2000,71.4100,71.0100,3800000.0000,63657396371.6282
20161,Eli Lilly and Company,LLY,2015-02-19,71.2900,70.7700,70.8300,71.1200,2337000.0000,63756007162.2720
20162,Eli Lilly and Company,LLY,2015-02-20,71.9600,70.2700,70.9700,71.8800,3461700.0000,64437309374.7280
20163,Eli Lilly and Company,LLY,2015-02-23,71.9200,70.7100,71.8100,71.0900,3378600.0000,63729107714.3873
20164,Eli Lilly and Company,LLY,2015-02-24,71.5000,70.5100,71.0000,70.9000,3158600.0000,63558785580.9845
20165,Eli Lilly and Company,LLY,2015-02-25,70.8700,70.0500,70.8700,70.3600,3029500.0000,63074698110.3938
20166,Eli Lilly and Company,LLY,2015-02-26,70.3100,69.5400,70.1700,70.0300,4544900.0000,62778865738.4624
