SNo,Name,Ticker,Date,High,Low,Open,Close,Volume,Marketcap
22645,"Merck & Co., Inc.",MRK,2015-01-02,55.1431,54.4179,54.5992,54.5706,7415962.0000,136305553587.8927
22646,"Merck & Co., Inc.",MRK,2015-01-05,55.8015,54.9332,55.5439,55.3817,16727338.0000,138331429339.2858
22647,"Merck & Co., Inc.",MRK,2015-01-06,57.7290,55.5821,55.6107,57.5573,25453510.0000,143765535160.5712
22648,"Merck & Co., Inc.",MRK,2015-01-07,58.7977,57.5954,57.6718,58.7882,19528956.0000,146840103683.8220
22649,"Merck & Co., Inc.",MRK,2015-01-08,60.0573,59.0172,59.1603,59.9714,20038808.0000,149795492395.9644
22650,"Merck & Co., Inc.",MRK,2015-01-09,60.2385,59.3225,59.9332,59.6947,13245358.0000,149104310472.5714
22651,"Merck & Co., Inc.",MRK,2015-01-12,60.5916,59.2557,60.2099,59.4466,12124312.0000,148484628813.2140
22652,"Merck & Co., Inc.",MRK,2015-01-13,60.7061,58.9027,60.0286,59.3416,10516890.0000,148222458002.3212
22653,"Merck & Co., Inc.",MRK,2015-01-14,60.0286,58.6641,58.8931,59.7710,10331289.0000,149294981019.4286
22654,"Merck & Co., Inc.",MRK,2015-01-15,60.1050,58.9981,59.9141,59.0458,10023701.0000,147483615588.4290
22655,"Merck & Co., Inc.",MRK,2015-01-16,60.2672,58.7118,59.0267,60.1431,11917018.0000,150224503508.4647
22656,"Merck & Co., Inc.",MRK,2015-01-20,60.4008,59.0458,59.8378,59.7424,13734983.0000,149223480755.3930
22657,"Merck & Co., Inc.",MRK,2015-01-21,59.9046,59.2366,59.5611,59.3130,9517307.0000,148150957738.2856
22658,"Merck & Co., Inc.",MRK,2015-01-22,59.8378,58.7118,59.4084,59.7233,8902131.0000,149175810736.6070
22659,"Merck & Co., Inc.",MRK,2015-01-23,60.1145,59.5515,59.5992,59.6279,6528097.0000,148937479699.2506
22660,"Merck & Co., Inc.",MRK,2015-01-26,60.0954,59.2748,59.7137,59.9427,7036901.0000,149723992131.9288
22661,"Merck & Co., Inc.",MRK,2015-01-27,60.1336,59.2844,60.0000,59.6947,8347425.0000,149104310472.5714
22662,"Merck & Co., Inc.",MRK,2015-01-28,60.0763,58.5115,59.9427,58.6355,9293769.0000,146458753061.8209
22663,"Merck & Co., Inc.",MRK,2015-01-29,59.3034,57.9771,58.7214,59.2462,9527682.0000,147984117436.6781
22664,"Merck & Co., Inc.",MRK,2015-01-30,59.0935,57.2805,58.7118,57.5191,12667071.0000,143670204651.2860
22665,"Merck & Co., Inc.",MRK,2015-02-02,58.1393,57.0420,57.7290,58.0916,9711502.0000,145100228988.5712
22666,"Merck & Co., Inc.",MRK,2015-02-03,58.2634,57.1947,58.1011,58.2252,12028420.0000,145433900063.4995
22667,"Merck & Co., Inc.",MRK,2015-02-04,57.2519,55.6679,57.2233,56.3454,20380142.0000,140738646184.3931
22668,"Merck & Co., Inc.",MRK,2015-02-05,56.6317,55.8302,56.5553,56.4599,13268099.0000,141024647240.5355
22669,"Merck & Co., Inc.",MRK,2015-02-06,57.0324,55.8969,56.3931,56.0973,10338310.0000,140118964525.0357
22670,"Merck & Co., Inc.",MRK,2015-02-09,56.2977,55.2767,55.9637,55.6584,10494777.0000,139022611262.6788
22671,"Merck & Co., Inc.",MRK,2015-02-10,56.6221,56.0782,56.2977,56.1546,9997291.0000,140261965053.1069
22672,"Merck & Co., Inc.",MRK,2015-02-11,56.2595,55.7252,56.0687,56.0496,10987127.0000,139999794242.2141
22673,"Merck & Co., Inc.",MRK,2015-02-12,56.4027,55.9065,56.2977,56.1832,7553670.0000,140333465317.1425
22674,"Merck & Co., Inc.",MRK,2015-02-13,56.2405,55.9256,56.2023,56.1164,8278466.0000,140166634543.8217
22675,"Merck & Co., Inc.",MRK,2015-02-17,56.2691,56.0115,56.0496,56.0973,10676290.0000,140118964525.0357
22676,"Merck & Co., Inc.",MRK,2015-02-18,56.3073,55.5630,55.9828,56.1069,11039842.0000,140142794770.2853
22677,"Merck & Co., Inc.",MRK,2015-02-19,56.2882,55.1622,56.1546,55.6298,10308338.0000,138951110998.6432
22678,"Merck & Co., Inc.",MRK,2015-02-20,55.8015,55.0859,55.4866,55.6775,12161830.0000,139070281281.4648
22679,"Merck & Co., Inc.",MRK,2015-02-23,55.9828,55.5057,55.7156,55.6298,9002215.0000,138951110998.6432
22680,"Merck & Co., Inc.",MRK,2015-02-24,55.8874,55.3912,55.8111,55.6870,8084377.0000,139094111526.7144
22681,"Merck & Co., Inc.",MRK,2015-02-25,56.2691,55.4008,55.7824,55.8111,8861050.0000,139403952356.3931
22682,"Merck & Co., Inc.",MRK,2015-02-26,56.4408,55.9733,55.9733,56.2595,12040577.0000,140524135863.9996
22683,"Merck & Co., Inc.",MRK,2015-02-27,56.3550,55.8111,56.1927,55.8588,13686775.0000,139523122639.2147
22684,"Merck & Co., Inc.",MRK,2015-03-02,56.1927,55.6107,55.8588,55.8969,10131226.0000,139618453148.4998
22685,"Merck & Co., Inc.",MRK,2015-03-03,56.0115,55.2958,55.9542,55.6679,8647362.0000,139046441507.9284
22686,"Merck & Co., Inc.",MRK,2015-03-04,55.9637,55.0382,55.7347,55.2290,13975290.0000,137950088245.5714
