SNo,Name,Ticker,Date,High,Low,Open,Close,Volume,Marketcap
27677,Novartis AG,NVS,2015-01-02,83.3781,82.4462,83.1810,82.6613,807872.0000,160020127635.9118
27678,Novartis AG,NVS,2015-01-05,83.7366,82.5986,83.7186,82.8405,1537848.0000,160367045784.2038
27679,Novartis AG,NVS,2015-01-06,83.0914,81.5233,82.7778,82.1416,1316992.0000,159014036944.0282
27680,Novartis AG,NVS,2015-01-07,82.7061,81.7652,81.8548,82.5000,1598447.0000,159707888010.0000
27681,Novartis AG,NVS,2015-01-08,85.7258,84.2294,84.3817,85.3674,2156782.0000,165258726076.5496
27682,Novartis AG,NVS,2015-01-09,86.7473,85.7796,86.4337,86.1290,2206890.0000,166733154053.2192
27683,Novartis AG,NVS,2015-01-12,86.1111,85.2957,86.0215,85.5556,1412186.0000,165622998255.4195
27684,Novartis AG,NVS,2015-01-13,87.0251,85.7258,86.5681,86.3441,1928002.0000,167149473554.4349
27685,Novartis AG,NVS,2015-01-14,86.9803,86.2186,86.4426,86.7473,2447165.0000,167930065234.5205
27686,Novartis AG,NVS,2015-01-15,90.3405,87.3029,88.4588,90.1255,12332693.0000,174469639962.3758
27687,Novartis AG,NVS,2015-01-16,90.6900,88.6021,89.1936,90.4570,9586998.0000,175111443706.0018
27688,Novartis AG,NVS,2015-01-20,91.9265,90.2151,91.8728,90.9319,3177698.0000,176030808553.1592
27689,Novartis AG,NVS,2015-01-21,89.5072,87.9032,89.2473,88.4857,6857932.0000,171295255458.4632
27690,Novartis AG,NVS,2015-01-22,87.0161,85.8961,86.1111,86.7742,3417638.0000,167982097787.4786
27691,Novartis AG,NVS,2015-01-23,87.8674,86.6577,87.8226,86.8011,2100647.0000,168034145109.8244
27692,Novartis AG,NVS,2015-01-26,87.8315,86.0663,87.8315,86.4606,5151010.0000,167374972566.2329
27693,Novartis AG,NVS,2015-01-27,89.1936,87.8226,88.2437,88.6469,3495758.0000,171607480314.9872
27694,Novartis AG,NVS,2015-01-28,88.7724,86.9444,88.1989,87.0161,2215260.0000,168450449841.6524
27695,Novartis AG,NVS,2015-01-29,88.8979,87.7509,88.0018,88.8531,2159906.0000,172006460555.0128
27696,Novartis AG,NVS,2015-01-30,88.2796,87.2670,87.7240,87.2760,1655809.0000,168953495187.5942
27697,Novartis AG,NVS,2015-02-02,87.5090,86.3351,87.1326,87.5000,1717747.0000,169387153950.0000
27698,Novartis AG,NVS,2015-02-03,87.5090,86.4964,87.4014,87.2849,1507716.0000,168970834448.7843
27699,Novartis AG,NVS,2015-02-04,88.7993,87.6882,88.7007,87.9480,2694917.0000,170254471474.8116
27700,Novartis AG,NVS,2015-02-05,87.6255,86.7563,87.3208,87.6255,2728620.0000,169630006992.3758
27701,Novartis AG,NVS,2015-02-06,89.3728,88.0824,89.0860,88.4857,2928161.0000,171295255458.4632
27702,Novartis AG,NVS,2015-02-09,92.7419,91.5233,91.6308,91.8100,4854265.0000,177730750311.0146
27703,Novartis AG,NVS,2015-02-10,91.7025,90.9050,91.3799,91.6398,2945682.0000,177401171423.9127
27704,Novartis AG,NVS,2015-02-11,91.6936,90.8513,90.8781,91.6487,1916172.0000,177418510685.1028
27705,Novartis AG,NVS,2015-02-12,91.7294,89.9462,90.0090,91.7294,2035026.0000,177574637882.7525
