SNo,Name,Ticker,Date,High,Low,Open,Close,Volume,Marketcap
30193,Organon & Co.,OGN,2021-05-14,33.2500,31.0000,31.0000,33.2500,342900.0000,8643855501.7500
30194,Organon & Co.,OGN,2021-05-17,35.0000,34.0000,34.0000,34.1000,31500.0000,8864825847.2240
30195,Organon & Co.,OGN,2021-05-18,38.4210,34.4800,34.4800,37.5000,48900.0000,9748709212.5000
30196,Organon & Co.,OGN,2021-05-19,37.7500,37.0000,37.0000,37.5000,43900.0000,9748709212.5000
30197,Organon & Co.,OGN,2021-05-20,37.7500,37.5000,37.5000,37.7500,22900.0000,9813700607.2500
30198,Organon & Co.,OGN,2021-05-21,38.5000,37.5000,38.5000,37.6000,18300.0000,9774705373.7240
30199,Organon & Co.,OGN,2021-05-24,38.2500,37.9000,38.0000,38.0000,30600.0000,9878692002.0000
30200,Organon & Co.,OGN,2021-05-25,38.7500,36.9000,38.7500,36.9500,35800.0000,9605728342.3880
30201,Organon & Co.,OGN,2021-05-26,38.0000,36.0000,38.0000,36.8300,44400.0000,9574532750.5812
30202,Organon & Co.,OGN,2021-05-27,37.0000,35.5000,37.0000,35.5000,40700.0000,9228778054.5000
30203,Organon & Co.,OGN,2021-05-28,37.1090,35.7500,36.0000,35.7500,60800.0000,9293769449.2500
30204,Organon & Co.,OGN,2021-06-01,37.4590,35.9000,36.6500,36.0000,52000.0000,9358760844.0000
30205,Organon & Co.,OGN,2021-06-02,36.7400,34.5000,36.5000,35.2600,1306900.0000,9166385879.1964
30206,Organon & Co.,OGN,2021-06-03,38.2400,32.2200,34.1500,37.0000,22326000.0000,9618726423.0000
30207,Organon & Co.,OGN,2021-06-04,36.1700,33.7100,36.1500,34.1500,7502300.0000,8877824919.5260
30208,Organon & Co.,OGN,2021-06-07,33.8800,30.8500,33.6000,31.4200,11513100.0000,8168118512.0138
30209,Organon & Co.,OGN,2021-06-08,30.9100,28.5300,30.3300,28.9100,18500300.0000,7515604849.2224
30210,Organon & Co.,OGN,2021-06-09,29.4400,27.2500,28.3000,28.4500,14563600.0000,7396020920.8880
30211,Organon & Co.,OGN,2021-06-10,31.1600,28.4000,28.4600,30.3300,11205900.0000,7884755991.2362
30212,Organon & Co.,OGN,2021-06-11,30.3800,29.4000,30.3800,29.6500,5728900.0000,7707979318.1810
30213,Organon & Co.,OGN,2021-06-14,30.6300,29.2700,30.0800,30.2800,6972000.0000,7871757910.6242
30214,Organon & Co.,OGN,2021-06-15,32.0900,29.8000,30.0300,31.8100,6339100.0000,8269504929.1534
30215,Organon & Co.,OGN,2021-06-16,31.6500,30.2700,31.5200,30.7000,5288100.0000,7980943473.6380
30216,Organon & Co.,OGN,2021-06-17,31.7300,30.1000,30.4900,31.4600,5086400.0000,8178516877.3344
30217,Organon & Co.,OGN,2021-06-18,31.7100,29.9600,31.5000,29.9800,10213800.0000,7793767939.4172
30218,Organon & Co.,OGN,2021-06-21,30.6700,29.3600,30.2000,29.4100,3542700.0000,7645587638.7224
30219,Organon & Co.,OGN,2021-06-22,29.8700,28.8450,29.2500,29.5300,4218300.0000,7676783726.3742
30220,Organon & Co.,OGN,2021-06-23,30.0800,29.1000,29.5300,29.5000,3880900.0000,7668984580.5000
30221,Organon & Co.,OGN,2021-06-24,30.0700,29.3000,29.3900,29.7700,2769600.0000,7739175405.8328
30222,Organon & Co.,OGN,2021-06-25,30.8700,29.2100,29.7700,30.1900,13582700.0000,7848360968.8466
30223,Organon & Co.,OGN,2021-06-28,31.0300,29.4100,29.6900,30.9400,3106200.0000,8043335153.0966
30224,Organon & Co.,OGN,2021-06-29,31.3200,30.4600,30.9800,30.5500,2256700.0000,7941948240.1120
30225,Organon & Co.,OGN,2021-06-30,30.8300,30.2500,30.3300,30.2600,2011100.0000,7866558480.0414
30226,Organon & Co.,OGN,2021-07-01,31.2400,30.0600,30.1100,30.8200,2437100.0000,8012139065.4448
30227,Organon & Co.,OGN,2021-07-02,31.1200,30.3000,30.7100,30.8600,1813100.0000,8022537926.6104
30228,Organon & Co.,OGN,2021-07-06,31.1000,29.9000,30.6000,31.0000,2853500.0000,8058932949.0000
30229,Organon & Co.,OGN,2021-07-07,31.0400,29.8700,31.0000,30.1200,2936200.0000,7830163457.6518
30230,Organon & Co.,OGN,2021-07-08,30.1800,29.2600,29.6500,29.6500,1931400.0000,7707979318.1810
30231,Organon & Co.,OGN,2021-07-09,30.2800,29.5900,29.9500,30.1000,2345700.0000,7824964027.0690
30232,Organon & Co.,OGN,2021-07-12,30.3800,29.5700,29.7700,29.7400,1855700.0000,7731376259.9586
30233,Organon & Co.,OGN,2021-07-13,29.8850,28.9600,29.5000,29.1000,2047900.0000,7564998448.0690
30234,Organon & Co.,OGN,2021-07-14,29.4000,28.8400,28.9800,29.3400,2004600.0000,7627390127.5276
30235,Organon & Co.,OGN,2021-07-15,29.4900,28.6900,28.8500,28.9100,2112300.0000,7515604849.2224
30236,Organon & Co.,OGN,2021-07-16,29.0000,28.4200,28.7700,28.8700,1757700.0000,7505206483.9018
30237,Organon & Co.,OGN,2021-07-19,29.1700,28.5400,28.6300,29.1400,2261600.0000,7575396813.3896
30238,Organon & Co.,OGN,2021-07-20,29.7800,29.0600,29.1700,29.6100,1922600.0000,7697580952.8604
30239,Organon & Co.,OGN,2021-07-21,30.5000,29.5300,29.6600,30.4600,2068400.0000,7918551298.3344
30240,Organon & Co.,OGN,2021-07-22,31.0600,30.2500,30.4300,30.9200,2221100.0000,8038135722.5138
30241,Organon & Co.,OGN,2021-07-23,30.9200,29.7120,30.8900,29.8000,1618100.0000,7746974055.8620
30242,Organon & Co.,OGN,2021-07-26,30.2100,29.1800,29.7100,29.6600,1526900.0000,7710579033.4724
30243,Organon & Co.,OGN,2021-07-27,29.6400,28.8250,29.3600,29.1200,2005300.0000,7570197878.6518
30244,Organon & Co.,OGN,2021-07-28,29.8700,29.0000,29.1300,29.7400,1854600.0000,7731376259.9586
30245,Organon & Co.,OGN,2021-07-29,29.8600,29.2100,29.5900,29.2300,1777000.0000,7598793755.1672
30246,Organon & Co.,OGN,2021-07-30,29.4000,28.9100,29.0600,29.0100,1504200.0000,7541601506.2914
30247,Organon & Co.,OGN,2021-08-02,29.6350,29.0400,29.0800,29.5300,1761600.0000,7676783726.3742
30248,Organon & Co.,OGN,2021-08-03,29.5800,29.0100,29.2800,29.5100,1386700.0000,7671584295.7914
30249,Organon & Co.,OGN,2021-08-04,29.3200,28.6100,29.3200,28.6300,1851700.0000,7442814308.5982
30250,Organon & Co.,OGN,2021-08-05,29.5800,28.5000,28.6400,29.5600,2190600.0000,7684582376.4034
30251,Organon & Co.,OGN,2021-08-06,29.7800,29.1700,29.4900,29.5000,1298600.0000,7668984580.5000
30252,Organon & Co.,OGN,2021-08-09,30.0000,28.9200,29.7800,29.1000,1982600.0000,7564998448.0690
30253,Organon & Co.,OGN,2021-08-10,30.4850,28.9200,29.0800,30.3500,2980200.0000,7889955421.8190
30254,Organon & Co.,OGN,2021-08-11,30.4000,29.7200,30.3500,29.9300,1868800.0000,7780769858.8052
30255,Organon & Co.,OGN,2021-08-12,34.0000,31.0000,31.0600,33.5000,7826700.0000,8708846896.5000
30256,Organon & Co.,OGN,2021-08-13,34.4900,32.8600,33.5000,34.2100,3441500.0000,8893422219.5844
30257,Organon & Co.,OGN,2021-08-16,34.7900,33.9100,34.2400,34.3300,2742100.0000,8924618803.0812
30258,Organon & Co.,OGN,2021-08-17,35.8200,34.4400,34.7400,35.3800,4683500.0000,9197582462.6932
30259,Organon & Co.,OGN,2021-08-18,36.4900,33.5420,35.8800,33.5900,4685000.0000,8732243838.2776
30260,Organon & Co.,OGN,2021-08-19,34.5670,33.0150,33.4000,34.1000,2501300.0000,8864825847.2240
30261,Organon & Co.,OGN,2021-08-20,34.4600,33.1500,33.9500,33.2200,2354600.0000,8636056851.7208
30262,Organon & Co.,OGN,2021-08-23,33.7900,32.8600,33.5500,33.2400,2473600.0000,8641256282.3036
30263,Organon & Co.,OGN,2021-08-24,33.8200,32.9600,33.3500,33.1600,2117500.0000,8620458559.9724
30264,Organon & Co.,OGN,2021-08-25,33.6100,32.3700,33.0100,33.3000,1929400.0000,8656853582.3620
30265,Organon & Co.,OGN,2021-08-26,34.3600,33.2200,33.2200,33.9600,1607900.0000,8828430824.8344
30266,Organon & Co.,OGN,2021-08-27,34.3200,33.7300,33.9800,34.2500,1165700.0000,8903821080.7500
30267,Organon & Co.,OGN,2021-08-30,34.2400,33.6600,34.0900,33.7200,1069000.0000,8766039641.2208
30268,Organon & Co.,OGN,2021-08-31,34.0980,33.4200,33.5400,33.8900,1694600.0000,8810233313.6396
30269,Organon & Co.,OGN,2021-09-01,35.3700,34.2600,34.4500,34.5600,2738500.0000,8984410767.2484
30270,Organon & Co.,OGN,2021-09-02,35.6400,34.3500,35.1200,35.6100,2560100.0000,9257374426.8604
30271,Organon & Co.,OGN,2021-09-03,35.6500,34.8600,35.4700,35.6100,1466400.0000,9257374426.8604
30272,Organon & Co.,OGN,2021-09-07,35.7500,34.8700,35.2800,35.6400,2247200.0000,9265173076.8896
30273,Organon & Co.,OGN,2021-09-08,35.5300,34.7500,35.5300,34.9700,2185000.0000,9090996614.9708
30274,Organon & Co.,OGN,2021-09-09,35.0000,34.2400,34.9700,34.6800,1573500.0000,9015606359.0552
30275,Organon & Co.,OGN,2021-09-10,35.0000,33.8700,34.9100,33.8800,1658400.0000,8807634094.1932
30276,Organon & Co.,OGN,2021-09-13,34.1800,33.5310,34.1700,33.8300,1950100.0000,8794636013.5812
30277,Organon & Co.,OGN,2021-09-14,33.8800,33.2500,33.7500,33.4200,1570200.0000,8688049174.1688
30278,Organon & Co.,OGN,2021-09-15,34.2600,33.2400,33.5000,33.7200,1953200.0000,8766039641.2208
30279,Organon & Co.,OGN,2021-09-16,34.0900,33.0200,33.8900,33.7600,1280600.0000,8776437510.6964
30280,Organon & Co.,OGN,2021-09-17,34.0800,33.2600,33.7000,34.0300,4341400.0000,8846628336.0292
30281,Organon & Co.,OGN,2021-09-20,33.7000,32.7700,33.2400,32.9400,1937300.0000,8563265815.2516
30282,Organon & Co.,OGN,2021-09-21,33.3900,32.7500,33.1900,32.8900,1162900.0000,8550267734.6396
30283,Organon & Co.,OGN,2021-09-22,33.2400,32.5900,33.0900,32.6500,1332100.0000,8487876551.0260
30284,Organon & Co.,OGN,2021-09-23,33.4700,32.6800,32.7600,33.3800,1608400.0000,8677651304.6932
30285,Organon & Co.,OGN,2021-09-24,33.9500,33.0000,33.5000,33.6900,1888100.0000,8758239999.5016
30286,Organon & Co.,OGN,2021-09-27,33.8700,33.4200,33.6900,33.5400,1281300.0000,8719245757.6656
30287,Organon & Co.,OGN,2021-09-28,33.5200,32.8950,33.5000,33.0400,1286800.0000,8589262968.1656
30288,Organon & Co.,OGN,2021-09-29,34.0000,33.0100,33.0200,33.9800,1306300.0000,8833630255.4172
30289,Organon & Co.,OGN,2021-09-30,34.1700,32.7800,33.9250,32.7900,1481600.0000,8524271573.4156
30290,Organon & Co.,OGN,2021-10-01,33.6000,32.5600,32.8800,33.3300,1497500.0000,8664653224.0812
30291,Organon & Co.,OGN,2021-10-04,33.5800,32.8200,33.1800,32.9400,1784800.0000,8563265815.2516
30292,Organon & Co.,OGN,2021-10-05,33.1400,32.4900,32.6800,32.5300,2452800.0000,8456679967.5292
30293,Organon & Co.,OGN,2021-10-06,33.1400,31.9200,32.2300,33.0700,2533300.0000,8597061618.1948
30294,Organon & Co.,OGN,2021-10-07,33.3200,32.7400,32.9900,32.8400,1339600.0000,8537269654.0276
30295,Organon & Co.,OGN,2021-10-08,32.8700,32.2200,32.7900,32.5700,1249000.0000,8467078828.6948
30296,Organon & Co.,OGN,2021-10-11,33.2570,32.5500,32.5800,33.2100,1319400.0000,8633456640.5844
30297,Organon & Co.,OGN,2021-10-12,33.5400,32.7600,33.1800,32.8400,1271300.0000,8537269654.0276
30298,Organon & Co.,OGN,2021-10-13,33.3250,32.6600,33.0000,33.1500,1251100.0000,8617859340.5260
30299,Organon & Co.,OGN,2021-10-14,33.9400,33.1000,33.1500,33.6400,1624700.0000,8745241918.8896
30300,Organon & Co.,OGN,2021-10-15,35.2500,33.7600,33.9600,34.8900,1675900.0000,9070198892.6396
30301,Organon & Co.,OGN,2021-10-18,35.1200,34.4600,34.8200,34.8000,1236200.0000,9046801950.8620
30302,Organon & Co.,OGN,2021-10-19,35.3900,34.7000,34.8300,35.0600,1246500.0000,9114393556.7484
30303,Organon & Co.,OGN,2021-10-20,36.2200,34.9800,35.1900,35.7600,1161000.0000,9296368668.6964
30304,Organon & Co.,OGN,2021-10-21,35.7500,35.1300,35.6600,35.3600,1100500.0000,9192383032.1104
30305,Organon & Co.,OGN,2021-10-22,35.7900,35.1100,35.3300,35.6600,765500.0000,9270372507.4724
30306,Organon & Co.,OGN,2021-10-25,36.9600,35.4100,35.4900,36.9100,1497900.0000,9595329481.2224
30307,Organon & Co.,OGN,2021-10-26,37.3400,36.5000,36.7800,36.7100,1598500.0000,9543336167.0844
