SNo,Name,Ticker,Date,High,Low,Open,Close,Volume,Marketcap
36139,Sanofi,SNY,2015-01-02,46.0300,45.1800,45.7500,45.5200,1166100.0000,110885648937.0215
36140,Sanofi,SNY,2015-01-05,44.2800,43.5700,44.0700,44.0000,4633200.0000,107182963624.0000
36141,Sanofi,SNY,2015-01-06,45.9900,43.8400,44.1500,45.1100,6742200.0000,109886898965.8620
36142,Sanofi,SNY,2015-01-07,45.1100,43.7800,45.1100,44.6800,13939600.0000,108839428350.6810
36143,Sanofi,SNY,2015-01-08,45.7900,44.9900,45.0200,45.4000,4769700.0000,110593334365.4051
36144,Sanofi,SNY,2015-01-09,45.1800,44.0500,45.1500,44.5500,4088700.0000,108522748810.7975
36145,Sanofi,SNY,2015-01-12,45.0900,44.2600,44.9700,44.9200,1764400.0000,109424057493.9139
36146,Sanofi,SNY,2015-01-13,45.6600,44.6200,45.5000,45.0900,1573200.0000,109838178321.8405
36147,Sanofi,SNY,2015-01-14,45.2000,44.6600,44.7100,44.8000,1781600.0000,109131742922.2975
36148,Sanofi,SNY,2015-01-15,45.3500,44.6500,44.9000,45.0000,1645900.0000,109618940070.0000
36149,Sanofi,SNY,2015-01-16,46.5800,45.4400,45.4400,46.3600,4359200.0000,112931869523.3620
36150,Sanofi,SNY,2015-01-20,47.0700,46.2000,47.0000,46.6600,2439700.0000,113662660598.6595
36151,Sanofi,SNY,2015-01-21,46.8000,45.9600,46.2900,46.7600,1878000.0000,113906254526.2544
36152,Sanofi,SNY,2015-01-22,46.8500,46.1300,46.3500,46.7300,2321200.0000,113833178206.4785
36153,Sanofi,SNY,2015-01-23,47.3600,46.1900,46.2600,46.8800,3819500.0000,114198578390.3835
36154,Sanofi,SNY,2015-01-26,46.9700,46.1900,46.6800,46.7300,3190300.0000,113833178206.4785
36155,Sanofi,SNY,2015-01-27,46.8300,46.1400,46.2700,46.6000,803900.0000,113516498666.5949
36156,Sanofi,SNY,2015-01-28,46.7700,45.9500,46.5500,46.0500,1872200.0000,112176713479.7975
36157,Sanofi,SNY,2015-01-29,47.0000,46.3400,46.6200,47.0000,1152200.0000,114490892962.0000
36158,Sanofi,SNY,2015-01-30,46.6400,46.0200,46.3800,46.0900,1985200.0000,112274154767.8405
36159,Sanofi,SNY,2015-02-02,46.7000,46.1200,46.1800,46.6900,2044800.0000,113735736918.4354
36160,Sanofi,SNY,2015-02-03,47.1500,46.5900,46.7100,46.9300,1446100.0000,114320375354.1810
36161,Sanofi,SNY,2015-02-04,47.0000,46.0000,46.1600,47.0000,3341300.0000,114490892962.0000
36162,Sanofi,SNY,2015-02-05,48.7000,47.8900,48.0700,48.4200,2380600.0000,117949975054.9139
36163,Sanofi,SNY,2015-02-06,48.5000,47.8400,48.1600,48.0500,7486100.0000,117048666371.7975
36164,Sanofi,SNY,2015-02-09,48.1300,47.4800,47.4800,47.8000,1489900.0000,116439672260.2975
36165,Sanofi,SNY,2015-02-10,48.5600,48.0900,48.4800,48.2500,1062900.0000,117535863519.5000
36166,Sanofi,SNY,2015-02-11,48.2100,47.8100,48.0000,48.1600,900100.0000,117316625267.6595
36167,Sanofi,SNY,2015-02-12,48.6000,48.0800,48.0900,48.6000,847200.0000,118388451558.5949
36168,Sanofi,SNY,2015-02-13,49.6600,49.2000,49.2400,49.4200,1739300.0000,120385951500.9139
36169,Sanofi,SNY,2015-02-17,49.2500,48.6000,49.0100,49.1900,1075600.0000,119825678033.4354
36170,Sanofi,SNY,2015-02-18,49.4400,49.0500,49.2500,49.2500,875800.0000,119971839965.5000
36171,Sanofi,SNY,2015-02-19,50.1100,49.6300,49.9100,50.1000,2046100.0000,122042416227.5949
36172,Sanofi,SNY,2015-02-20,50.3300,49.0700,49.1100,50.1000,2027800.0000,122042416227.5949
36173,Sanofi,SNY,2015-02-23,50.5700,50.2000,50.2900,50.2200,857400.0000,122334740091.7241
36174,Sanofi,SNY,2015-02-24,50.4700,49.6600,49.8200,50.3900,1046400.0000,122748851627.1380
36175,Sanofi,SNY,2015-02-25,50.6200,50.2100,50.2500,50.4100,1440200.0000,122797572271.1595
36176,Sanofi,SNY,2015-02-26,49.1800,48.6400,49.0900,48.8700,2660200.0000,119046166314.1165
36177,Sanofi,SNY,2015-02-27,49.1500,48.5200,48.7200,48.8600,1444500.0000,119021810638.3620
36178,Sanofi,SNY,2015-03-02,48.4600,48.2000,48.3100,48.2900,1343600.0000,117633304807.5430
36179,Sanofi,SNY,2015-03-03,48.6400,48.0000,48.5500,48.0800,1115200.0000,117121751984.0861
36180,Sanofi,SNY,2015-03-04,48.3600,47.7900,48.1600,48.3400,1743100.0000,117755101771.3405
36181,Sanofi,SNY,2015-03-05,48.7300,48.2700,48.7300,48.3600,1529800.0000,117803822415.3620
36182,Sanofi,SNY,2015-03-06,47.8300,47.4000,47.6800,47.4200,1075500.0000,115513998608.9139
36183,Sanofi,SNY,2015-03-09,47.6800,47.4200,47.6300,47.5700,1129200.0000,115879398792.8190
36184,Sanofi,SNY,2015-03-10,46.5000,46.1500,46.4300,46.3400,1884500.0000,112883148879.3405
36185,Sanofi,SNY,2015-03-11,47.2400,46.7900,46.9200,46.9300,1429200.0000,114320375354.1810
36186,Sanofi,SNY,2015-03-12,47.5800,47.2400,47.3000,47.5600,1574300.0000,115855043117.0646
36187,Sanofi,SNY,2015-03-13,47.3500,46.9300,47.1500,47.0700,1221700.0000,114661410569.8190
36188,Sanofi,SNY,2015-03-16,48.8600,48.1400,48.1700,48.6200,2198800.0000,118437172202.6165
36189,Sanofi,SNY,2015-03-17,49.1400,48.5500,48.7100,48.9700,1495700.0000,119289769534.2241
36190,Sanofi,SNY,2015-03-18,50.4500,49.1000,49.2600,50.2000,1628300.0000,122286019447.7025
36191,Sanofi,SNY,2015-03-19,49.6000,49.1600,49.2300,49.4700,1208400.0000,120507757757.2241
36192,Sanofi,SNY,2015-03-20,51.0700,50.0800,50.3100,50.6400,2367600.0000,123357845738.6380
36193,Sanofi,SNY,2015-03-23,51.3000,50.7300,50.9900,50.9800,1449700.0000,124186078101.9785
36194,Sanofi,SNY,2015-03-24,51.4700,51.0300,51.3200,51.1200,1076400.0000,124527113317.6165
36195,Sanofi,SNY,2015-03-25,51.0500,50.1900,50.9800,50.3000,1621800.0000,122529613375.2975
36196,Sanofi,SNY,2015-03-26,49.8800,48.6600,49.8800,48.8000,2740000.0000,118875648706.2975
36197,Sanofi,SNY,2015-03-27,50.1400,49.3600,49.5700,49.9700,1057900.0000,121725745980.2241
36198,Sanofi,SNY,2015-03-30,50.4400,50.0400,50.2000,50.2400,811300.0000,122383460735.7456
36199,Sanofi,SNY,2015-03-31,49.6400,49.1000,49.2200,49.4400,1677300.0000,120434672144.9354
36200,Sanofi,SNY,2015-04-01,50.3300,49.6800,50.3300,49.9300,1241500.0000,121628304692.1810
36201,Sanofi,SNY,2015-04-02,51.1900,50.7100,50.8400,51.0500,3148700.0000,124356595709.7975
36202,Sanofi,SNY,2015-04-06,51.7400,51.1600,51.2500,51.1700,1107200.0000,124648910281.4139
36203,Sanofi,SNY,2015-04-07,52.0700,51.5300,51.9000,51.5900,1264700.0000,125672025220.8405
36204,Sanofi,SNY,2015-04-08,52.0700,51.3100,52.0400,51.4800,868500.0000,125404066324.9785
36205,Sanofi,SNY,2015-04-09,51.9400,51.5200,51.7800,51.8700,623900.0000,126354095652.1165
36206,Sanofi,SNY,2015-04-10,52.4600,51.9800,52.0400,52.3500,853200.0000,127523363231.0949
36207,Sanofi,SNY,2015-04-13,52.4600,51.8700,52.1900,51.8700,1004800.0000,126354095652.1165
36208,Sanofi,SNY,2015-04-14,52.3500,51.9500,52.1100,52.1000,3356100.0000,126914369119.5949
36209,Sanofi,SNY,2015-04-15,52.5200,51.9200,52.4400,52.1600,1635100.0000,127060531051.6595
36210,Sanofi,SNY,2015-04-16,52.3800,51.7300,52.2200,52.1400,742600.0000,127011810407.6380
36211,Sanofi,SNY,2015-04-17,51.8100,51.2600,51.7800,51.6800,914300.0000,125891263472.6810
36212,Sanofi,SNY,2015-04-20,51.7200,51.3100,51.4700,51.3700,2133700.0000,125136107429.1165
36213,Sanofi,SNY,2015-04-21,51.7100,51.3300,51.5300,51.5600,2326600.0000,125598948901.0646
36214,Sanofi,SNY,2015-04-22,51.7500,51.3200,51.7500,51.5900,1236200.0000,125672025220.8405
36215,Sanofi,SNY,2015-04-23,51.8100,50.9800,51.1600,51.7600,608900.0000,126086136756.2544
36216,Sanofi,SNY,2015-04-24,52.1000,51.2800,51.6200,51.7500,774900.0000,126061781080.5000
36217,Sanofi,SNY,2015-04-27,53.0000,52.2800,52.7700,52.2800,1990100.0000,127352845623.2759
36218,Sanofi,SNY,2015-04-28,51.6100,51.0700,51.5000,51.5600,1031700.0000,125598948901.0646
36219,Sanofi,SNY,2015-04-29,51.6100,50.7000,51.3500,51.2100,1344600.0000,124746351569.4570
36220,Sanofi,SNY,2015-04-30,51.2000,50.3900,50.4700,50.5500,2971100.0000,123138607486.7975
36221,Sanofi,SNY,2015-05-01,51.3000,50.5800,50.7900,51.2900,772500.0000,124941234145.5430
36222,Sanofi,SNY,2015-05-04,51.8500,51.3600,51.5000,51.4500,902200.0000,125330990005.2025
36223,Sanofi,SNY,2015-05-05,51.0900,50.0700,51.0800,50.1500,1205200.0000,122164222483.9051
36224,Sanofi,SNY,2015-05-06,49.9600,49.3100,49.5800,49.4500,1384400.0000,120459037113.2025
36225,Sanofi,SNY,2015-05-07,49.3500,48.8900,49.2000,48.9900,1486000.0000,119338490178.2456
36226,Sanofi,SNY,2015-05-08,50.0200,49.1400,49.1600,49.9900,1131400.0000,121774466624.2456
36227,Sanofi,SNY,2015-05-11,49.8100,49.3500,49.4900,49.3500,777800.0000,120215433893.0949
36228,Sanofi,SNY,2015-05-12,49.9100,49.5200,49.6600,49.7400,819400.0000,121165472512.7456
36229,Sanofi,SNY,2015-05-13,50.5100,49.8700,50.3000,49.8900,866600.0000,121530863404.1380
36230,Sanofi,SNY,2015-05-14,50.9400,50.4000,50.6600,50.7900,806900.0000,123723245922.5430
36231,Sanofi,SNY,2015-05-15,50.7600,50.1400,50.6900,50.5200,4281400.0000,123065531167.0215
36232,Sanofi,SNY,2015-05-18,50.7500,50.0300,50.2100,50.4000,451300.0000,122773216595.4051
36233,Sanofi,SNY,2015-05-19,51.0900,50.3600,50.4600,50.9200,1529300.0000,124039916169.9139
36234,Sanofi,SNY,2015-05-20,50.9300,50.3400,50.4300,50.7500,601100.0000,123625804634.5000
36235,Sanofi,SNY,2015-05-21,51.4400,51.0000,51.0200,51.2500,725500.0000,124843792857.5000
36236,Sanofi,SNY,2015-05-22,51.0800,50.6500,51.0800,50.7300,347000.0000,123577083990.4785
36237,Sanofi,SNY,2015-05-26,50.1300,49.1300,50.0900,49.2900,995600.0000,120069281253.5430
