Ticker,Obs,Mean,σ,Min,Max,Unit root,Mcap
LLY,2515.0,0.111,1.757,-10.515,15.68,-16.44***,692064617948.0
JNJ,2515.0,0.019,1.14,-10.038,7.998,-16.32***,348293955909.1729
ABBV,2515.0,0.054,1.687,-16.252,13.767,-12.26***,313917396166.9921
NVO,2515.0,0.071,1.767,-17.827,17.235,-51.94***,289763351292.7744
MRK,2515.0,0.033,1.364,-9.863,10.408,-16.97***,248479482215.1724
AZN,2515.0,0.037,1.555,-14.909,9.295,-16.91***,203146007968.8829
RHHBY,2515.0,0.01,1.351,-9.099,13.012,-17.70***,192433292927.6818
NVS,2515.0,0.014,1.209,-9.825,8.003,-18.31***,188377868998.0759
PFE,2515.0,0.006,1.472,-7.735,10.855,-11.03***,150837658668.9577
AMGN,2515.0,0.032,1.563,-9.585,11.818,-16.81***,140318640730.7999
SNY,2515.0,0.013,1.479,-19.126,8.057,-17.09***,117487142875.4785
BMY,2515.0,0.01,1.557,-15.985,11.442,-16.13***,115124253792.5258
GILD,2515.0,0.012,1.621,-10.15,12.92,-16.93***,114613338238.898
GSK,2515.0,-0.0,1.33,-11.044,9.445,-16.64***,67993747894.7164
BIIB,2515.0,0.002,2.657,-29.23,43.974,-23.01***,22420304057.7007
